stamp,module,elapsed_ms
1657065600.532227,1.1_pointcloud_extract,0.035
1657065600.532227,1.1_cloud_preprocess,1.608
1657065600.532227,1.1_ros_callback_total,1.776
1657065600.532227,1.2_odom_insert_frame,1.412
1657065600.632376,1.1_pointcloud_extract,0.031
1657065600.632376,1.1_cloud_preprocess,1.524
1657065600.632376,1.1_ros_callback_total,1.638
1657065600.632376,1.2_odom_insert_frame,7.419
1657065600.732225,1.1_pointcloud_extract,0.009
1657065600.732225,1.1_cloud_preprocess,1.253
1657065600.732225,1.1_ros_callback_total,1.318
1657065600.732225,1.2_odom_insert_frame,3.052
1657065600.832473,1.1_pointcloud_extract,0.010
1657065600.832473,1.1_cloud_preprocess,1.304
1657065600.832473,1.1_ros_callback_total,1.379
1657065600.832473,1.2_odom_insert_frame,4.973
1657065600.932238,1.1_pointcloud_extract,0.043
1657065600.932238,1.1_cloud_preprocess,1.512
1657065600.932238,1.1_ros_callback_total,1.629
1657065600.932238,1.2_odom_insert_frame,5.013
1657065601.032214,1.1_pointcloud_extract,0.042
1657065601.032214,1.1_cloud_preprocess,1.497
1657065601.032214,1.1_ros_callback_total,1.601
1657065601.032214,1.2_odom_insert_frame,3.115
1657065601.132282,1.1_pointcloud_extract,0.009
1657065601.132282,1.1_cloud_preprocess,1.188
1657065601.132282,1.1_ros_callback_total,1.251
1657065601.132282,1.2_odom_insert_frame,2.303
1657065601.232225,1.1_pointcloud_extract,0.011
1657065601.232225,1.1_cloud_preprocess,1.326
1657065601.232225,1.1_ros_callback_total,1.404
1657065601.232225,1.2_odom_insert_frame,4.917
1657065601.332451,1.1_pointcloud_extract,0.011
1657065601.332451,1.1_cloud_preprocess,1.456
1657065601.332451,1.1_ros_callback_total,1.554
1657065601.332451,1.2_odom_insert_frame,4.141
1657065601.432271,1.1_pointcloud_extract,0.011
1657065601.432271,1.1_cloud_preprocess,1.348
1657065601.432271,1.1_ros_callback_total,1.440
1657065601.432271,1.2_odom_insert_frame,4.995
1657065601.532288,1.1_pointcloud_extract,0.010
1657065601.532288,1.1_cloud_preprocess,1.220
1657065601.532288,1.1_ros_callback_total,1.299
1657065601.532288,1.2_odom_insert_frame,3.060
1657065601.632277,1.1_pointcloud_extract,0.010
1657065601.632277,1.1_cloud_preprocess,1.314
1657065601.632277,1.1_ros_callback_total,1.405
1657065601.632277,1.2_odom_insert_frame,3.101
1657065601.732269,1.1_pointcloud_extract,0.011
1657065601.732269,1.1_cloud_preprocess,1.293
1657065601.732269,1.1_ros_callback_total,1.381
1657065601.732269,1.2_odom_insert_frame,3.020
1657065601.832238,1.1_pointcloud_extract,0.010
1657065601.832238,1.1_cloud_preprocess,1.326
1657065601.832238,1.1_ros_callback_total,1.414
1657065601.832238,1.2_odom_insert_frame,3.001
1657065601.932284,1.1_pointcloud_extract,0.008
1657065601.932284,1.1_cloud_preprocess,1.284
1657065601.932284,1.1_ros_callback_total,1.357
1657065601.932284,1.2_odom_insert_frame,5.719
1657065602.032290,1.1_pointcloud_extract,0.012
1657065602.032290,1.1_cloud_preprocess,1.291
1657065602.032290,1.1_ros_callback_total,1.397
1657065602.032290,1.2_odom_insert_frame,4.331
1657065602.132288,1.1_pointcloud_extract,0.009
1657065602.132288,1.1_cloud_preprocess,1.508
1657065602.132288,1.1_ros_callback_total,1.600
1657065602.132288,1.2_odom_insert_frame,4.710
1657065602.232325,1.1_pointcloud_extract,0.011
1657065602.232325,1.1_cloud_preprocess,1.303
1657065602.232325,1.1_ros_callback_total,1.403
1657065602.232325,1.2_odom_insert_frame,4.497
1657065602.332246,1.1_pointcloud_extract,0.011
1657065602.332246,1.1_cloud_preprocess,1.313
1657065602.332246,1.1_ros_callback_total,1.409
1657065602.332246,1.2_odom_insert_frame,3.268
1657065602.432276,1.1_pointcloud_extract,0.011
1657065602.432276,1.1_cloud_preprocess,1.319
1657065602.432276,1.1_ros_callback_total,1.413
1657065602.432276,1.2_odom_insert_frame,3.678
1657065602.532284,1.1_pointcloud_extract,0.011
1657065602.532284,1.1_cloud_preprocess,1.346
1657065602.532284,1.1_ros_callback_total,1.444
1657065602.532284,1.2_odom_insert_frame,5.365
1657065602.632299,1.1_pointcloud_extract,0.011
1657065602.632299,1.1_cloud_preprocess,1.340
1657065602.632299,1.1_ros_callback_total,1.428
1657065602.632299,1.2_odom_insert_frame,3.399
1657065602.732299,1.1_pointcloud_extract,0.009
1657065602.732299,1.1_cloud_preprocess,1.171
1657065602.732299,1.1_ros_callback_total,1.247
1657065602.732299,1.2_odom_insert_frame,6.596
1657065602.832434,1.1_pointcloud_extract,0.010
1657065602.832434,1.1_cloud_preprocess,1.274
1657065602.832434,1.1_ros_callback_total,1.362
1657065602.832434,1.2_odom_insert_frame,6.507
1657065602.932231,1.1_pointcloud_extract,0.012
1657065602.932231,1.1_cloud_preprocess,1.263
1657065602.932231,1.1_ros_callback_total,1.362
1657065602.932231,1.2_odom_insert_frame,2.719
1657065603.032217,1.1_pointcloud_extract,0.011
1657065603.032217,1.1_cloud_preprocess,1.329
1657065603.032217,1.1_ros_callback_total,1.438
1657065603.032217,1.2_odom_insert_frame,4.692
1657065603.132284,1.1_pointcloud_extract,0.011
1657065603.132284,1.1_cloud_preprocess,1.292
1657065603.132284,1.1_ros_callback_total,1.381
1657065603.132284,1.2_odom_insert_frame,5.043
1657065603.232282,1.1_pointcloud_extract,0.011
1657065603.232282,1.1_cloud_preprocess,1.280
1657065603.232282,1.1_ros_callback_total,1.373
1657065603.232282,1.2_odom_insert_frame,3.308
1657065603.332276,1.1_pointcloud_extract,0.009
1657065603.332276,1.1_cloud_preprocess,1.187
1657065603.332276,1.1_ros_callback_total,1.254
1657065603.332276,1.2_odom_insert_frame,2.790
1657065603.432278,1.1_pointcloud_extract,0.010
1657065603.432278,1.1_cloud_preprocess,1.178
1657065603.432278,1.1_ros_callback_total,1.252
1657065603.432278,1.2_odom_insert_frame,3.326
1657065603.532229,1.1_pointcloud_extract,0.010
1657065603.532229,1.1_cloud_preprocess,1.345
1657065603.532229,1.1_ros_callback_total,1.448
1657065603.532229,1.2_covariance_estimation,0.517
1657065603.532229,1.2_create_factors,0.003
1657065603.532229,1.2_smoother_update,0.145
1657065603.532229,1.2_update_frames_calculate_estimate,0.008
1657065603.532229,1.2_update_frames_state_copy,0.012
1657065603.532229,1.2_update_frames_sigma_p,0.038
1657065603.532229,1.2_update_frames,0.077
1657065603.532229,1.2_odom_insert_frame,12.023
1657065603.632278,1.1_pointcloud_extract,0.011
1657065603.632278,1.1_cloud_preprocess,1.268
1657065603.632278,1.1_ros_callback_total,1.358
1657065603.632278,1.2_imu_integration,0.098
1657065603.632278,1.2_pointcloud_deskew,0.050
1657065603.632278,1.2_covariance_estimation,0.417
1657065603.632278,1.2_create_factors,0.016
1657065603.632278,1.2_smoother_update,0.698
1657065603.632278,1.3_gnss_injection,0.243
1657065603.632278,1.2_update_frames_calculate_estimate,0.002
1657065603.632278,1.2_update_frames_state_copy,0.002
1657065603.632278,1.2_update_frames_sigma_p,0.017
1657065603.632278,1.2_update_frames,0.034
1657065603.610284,2.1_gnss_araim,1.228
1657065603.632278,2.3_dynamic_al,0.001
1657065603.632278,2.3_state_machine,0.001
1657065603.632278,2.3_integrity_total,1.516
1657065603.632278,1.2_odom_insert_frame,3.879
1657065603.732290,1.1_pointcloud_extract,0.011
1657065603.732290,1.1_cloud_preprocess,1.259
1657065603.732290,1.1_ros_callback_total,1.342
1657065603.732290,1.2_imu_integration,0.091
1657065603.732290,1.2_pointcloud_deskew,0.038
1657065603.732290,1.2_covariance_estimation,0.651
1657065603.732290,1.2_create_factors,0.018
1657065603.732290,1.2_smoother_update,1.656
1657065603.732290,1.3_gnss_injection,0.305
1657065603.732290,1.2_update_frames_calculate_estimate,0.004
1657065603.732290,1.2_update_frames_state_copy,0.003
1657065603.732290,1.2_update_frames_sigma_p,0.025
1657065603.732290,1.2_update_frames,0.053
1657065603.710277,2.1_gnss_araim,0.686
1657065603.732290,2.3_dynamic_al,0.000
1657065603.732290,2.3_state_machine,0.000
1657065603.732290,2.3_integrity_total,0.751
1657065603.732290,1.2_odom_insert_frame,4.063
1657065603.832275,1.1_pointcloud_extract,0.012
1657065603.832275,1.1_cloud_preprocess,1.367
1657065603.832275,1.1_ros_callback_total,1.453
1657065603.832275,1.2_imu_integration,0.090
1657065603.832275,1.2_pointcloud_deskew,0.039
1657065603.832275,1.2_covariance_estimation,0.715
1657065603.832275,1.2_create_factors,0.015
1657065603.832275,1.2_smoother_update,1.642
1657065603.832275,1.3_gnss_injection,0.305
1657065603.832275,1.2_update_frames_calculate_estimate,0.005
1657065603.832275,1.2_update_frames_state_copy,0.003
1657065603.832275,1.2_update_frames_sigma_p,0.022
1657065603.832275,1.2_update_frames,0.054
