stamp,frame_id,rmse,inlier_fraction,condition_number,gamma_lidar,drop_flag
1657065601.828272,1,0.1493,1.0000,6702.4,3.6612,1
1657065601.928284,2,0.1516,1.0000,6766.9,3.6788,1
1657065602.028277,3,0.1512,1.0000,6709.9,3.6633,1
1657065602.128217,4,0.1504,0.9949,6865.1,3.7054,1
1657065602.228224,5,0.1489,0.9946,6716.8,3.6652,1
1657065602.328271,6,0.1493,0.9946,6864.5,3.7053,1
1657065602.428275,7,0.1481,0.9946,6813.6,3.6915,1
1657065602.528270,8,0.1495,0.9946,6114.2,3.4969,1
1657065602.628261,9,0.1489,0.9946,5618.0,3.3520,1
1657065602.728272,10,0.1481,0.9946,6904.6,3.7161,1
1657065602.828277,11,0.1483,0.9946,6875.8,3.7083,1
1657065602.928293,12,0.1500,0.9946,6922.7,3.7209,1
1657065603.028272,13,0.1483,0.9946,6901.5,3.7152,1
1657065603.128283,14,0.1491,0.9946,6898.9,3.7146,1
1657065603.228263,15,0.1484,0.9946,6892.0,3.7127,1
1657065603.328254,16,0.1493,0.9946,6903.2,3.7157,1
1657065603.428303,17,0.1505,0.9946,6904.8,3.7161,1
1657065603.528274,18,0.1502,0.9946,6901.3,3.7152,1
1657065603.628301,19,0.1506,0.9946,5258.9,3.2431,1
1657065603.728280,20,0.1498,0.9946,4533.8,3.0112,1
1657065603.828257,21,0.1494,0.9946,5529.4,3.3255,1
1657065603.928300,22,0.1487,0.9946,5616.7,3.3516,1
1657065604.028222,23,0.1491,0.9946,6854.9,3.7027,1
1657065604.128245,24,0.1500,0.9946,6181.6,3.5161,1
1657065604.228272,25,0.1486,0.9946,5587.2,3.3428,1
1657065604.328223,26,0.1492,0.9946,6908.5,3.7171,1
1657065604.428251,27,0.1500,0.9946,6798.0,3.6873,1
1657065604.528278,28,0.1487,0.9946,6889.1,3.7119,1
1657065604.628292,29,0.1495,0.9946,6875.4,3.7082,1
1657065604.728273,30,0.1499,0.9973,6796.5,3.6869,1
1657065604.828274,31,0.1505,1.0000,6826.5,3.6950,1
