stamp,x,y,z
1657065601.828272,-0.0010,-0.0067,0.0789
1657065601.928284,-0.0013,-0.0042,0.0920
1657065602.028277,-0.0015,-0.0020,0.1025
1657065602.128217,-0.0015,-0.0019,0.1095
1657065602.228224,-0.0014,-0.0014,0.1177
1657065602.328271,-0.0016,-0.0017,0.1204
1657065602.428275,-0.0017,-0.0013,0.1213
1657065602.528270,-0.0021,-0.0011,0.1213
1657065602.628261,-0.0024,-0.0007,0.1224
1657065602.728272,-0.0031,-0.0008,0.1199
1657065602.828277,-0.0031,-0.0009,0.1218
1657065602.928293,-0.0024,-0.0007,0.1239
1657065603.028272,-0.0024,-0.0011,0.1234
1657065603.128283,-0.0021,-0.0017,0.1247
1657065603.228263,-0.0022,-0.0018,0.1247
1657065603.328254,-0.0025,-0.0015,0.1230
1657065603.428303,-0.0024,-0.0010,0.1228
1657065603.528274,-0.0024,-0.0009,0.1210
1657065603.628301,-0.0021,-0.0011,0.1204
1657065603.728280,-0.0022,-0.0008,0.1199
1657065603.828257,-0.0030,-0.0009,0.1197
1657065603.928300,-0.0035,-0.0010,0.1202
1657065604.028222,-0.0034,-0.0008,0.1196
1657065604.128245,-0.0030,-0.0012,0.1213
1657065604.228272,-0.0029,-0.0009,0.1218
1657065604.328223,-0.0026,-0.0004,0.1231
1657065604.428251,-0.0023,0.0001,0.1224
1657065604.528278,-0.0022,-0.0005,0.1200
1657065604.628292,-0.0025,-0.0003,0.1158
1657065604.728273,-0.0027,-0.0007,0.1130
1657065604.828274,-0.0023,-0.0003,0.1125
1657065604.928294,-0.0024,-0.0003,0.1101
1657065605.028276,-0.0025,-0.0005,0.1051
1657065605.128247,-0.0026,-0.0008,0.0998
1657065605.228257,-0.0024,-0.0006,0.0914
1657065605.328298,-0.0021,-0.0006,0.0835
1657065605.428283,-0.0023,-0.0001,0.0724
1657065605.528277,-0.0028,-0.0002,0.0618
1657065605.628295,-0.0034,0.0002,0.0499
1657065605.729289,-0.0039,0.0010,0.0391
1657065605.828305,-0.0040,0.0010,0.0262
1657065605.928290,-0.0044,0.0014,0.0123
1657065606.028278,-0.0044,0.0017,-0.0043
1657065606.128274,-0.0047,0.0012,-0.0239
1657065606.228234,-0.0049,0.0014,-0.0430
1657065606.328211,-0.0050,0.0015,-0.0608
1657065606.428218,-0.0051,0.0017,-0.0784
1657065606.528275,-0.0048,0.0016,-0.0968
1657065606.628233,-0.0050,0.0012,-0.1188
1657065606.728275,-0.0046,0.0009,-0.1365
1657065606.828278,-0.0042,0.0010,-0.1533
1657065606.928294,-0.0038,0.0007,-0.1704
1657065607.028228,-0.0029,0.0006,-0.1903
1657065607.128220,-0.0022,0.0003,-0.2087
1657065607.228240,-0.0016,-0.0000,-0.2304
1657065607.328274,-0.0015,-0.0001,-0.2516
1657065607.428308,-0.0012,-0.0000,-0.2728
1657065607.528290,-0.0006,-0.0002,-0.2894
1657065607.628276,-0.0013,-0.0003,-0.3091
1657065607.728274,-0.0014,0.0003,-0.3276
1657065607.828218,-0.0020,0.0009,-0.3491
1657065607.928249,-0.0024,0.0003,-0.3678
1657065608.028231,-0.0029,0.0005,-0.3859
1657065608.128291,-0.0028,0.0003,-0.4008
1657065608.228271,-0.0031,0.0006,-0.4193
1657065608.328277,-0.0031,0.0002,-0.4396
1657065608.428293,-0.0029,0.0001,-0.4615
1657065608.528270,-0.0029,0.0003,-0.4801
1657065608.628294,-0.0025,0.0002,-0.4995
1657065608.728252,-0.0025,-0.0004,-0.5209
1657065608.828258,-0.0028,0.0000,-0.5459
1657065608.928272,-0.0028,-0.0002,-0.5703
1657065609.028252,-0.0027,-0.0000,-0.5922
1657065609.128255,-0.0033,0.0004,-0.6187
1657065609.228222,-0.0036,0.0008,-0.6447
1657065609.328247,-0.0040,-0.0000,-0.6723
1657065609.428502,-0.0040,-0.0002,-0.6936
1657065609.528275,-0.0040,0.0001,-0.7189
1657065609.628273,-0.0039,-0.0002,-0.7491
1657065609.728273,-0.0035,-0.0006,-0.7722
1657065609.828269,-0.0036,-0.0002,-0.8001
1657065609.928278,-0.0040,-0.0003,-0.8295
1657065610.028271,-0.0043,0.0001,-0.8618
1657065610.128293,-0.0043,0.0007,-0.8933
1657065610.228279,-0.0042,0.0009,-0.9228
1657065610.328290,-0.0042,0.0009,-0.9549
1657065610.428276,-0.0038,0.0006,-0.9826
1657065610.528228,-0.0037,0.0009,-1.0081
1657065610.628249,-0.0039,0.0007,-1.0396
1657065610.728239,-0.0037,0.0008,-1.0690
1657065610.828218,-0.0036,0.0004,-1.0946
1657065610.928222,-0.0035,0.0005,-1.1211
1657065611.028280,-0.0038,0.0011,-1.1506
1657065611.128303,-0.0040,0.0018,-1.1780
1657065611.228246,-0.0039,0.0021,-1.2012
1657065611.328280,-0.0045,0.0019,-1.2276
1657065611.428276,-0.0047,0.0013,-1.2567
1657065611.528221,-0.0046,0.0011,-1.2827
1657065611.628325,-0.0044,0.0007,-1.3043
1657065611.728300,-0.0045,0.0007,-1.3273
1657065611.828276,-0.0046,0.0005,-1.3519
1657065611.928275,-0.0045,0.0003,-1.3774
1657065612.028289,-0.0042,-0.0002,-1.3962
1657065612.128245,-0.0041,-0.0010,-1.4158
1657065612.228286,-0.0041,-0.0012,-1.4381
1657065612.328218,-0.0043,-0.0011,-1.4622
1657065612.428272,-0.0046,-0.0008,-1.4864
1657065612.528278,-0.0045,-0.0009,-1.5071
1657065612.628215,-0.0044,-0.0011,-1.5281
1657065612.728286,-0.0039,-0.0016,-1.5500
1657065612.828258,-0.0038,-0.0019,-1.5740
1657065612.928293,-0.0037,-0.0020,-1.5954
1657065613.028270,-0.0035,-0.0014,-1.6149
1657065613.128254,-0.0034,-0.0014,-1.6320
1657065613.228276,-0.0035,-0.0009,-1.6501
1657065613.328318,-0.0038,-0.0005,-1.6691
1657065613.428288,-0.0038,-0.0004,-1.6878
1657065613.528286,-0.0037,-0.0000,-1.7039
1657065613.628264,-0.0037,0.0001,-1.7174
1657065613.728297,-0.0032,0.0002,-1.7296
1657065613.828230,-0.0031,0.0001,-1.7429
1657065613.928310,-0.0025,-0.0006,-1.7527
1657065614.028276,-0.0022,-0.0008,-1.7625
1657065614.128309,-0.0024,-0.0009,-1.7752
1657065614.228272,-0.0027,-0.0006,-1.7861
1657065614.328275,-0.0028,-0.0005,-1.7970
1657065614.428234,-0.0031,-0.0006,-1.8073
1657065614.528273,-0.0032,-0.0003,-1.8151
1657065614.628232,-0.0032,-0.0001,-1.8210
1657065614.728220,-0.0030,-0.0001,-1.8242
1657065614.828237,-0.0025,-0.0005,-1.8249
1657065614.928280,-0.0021,-0.0006,-1.8272
1657065615.028283,-0.0017,-0.0004,-1.8281
1657065615.128286,-0.0014,-0.0006,-1.8281
1657065615.228269,-0.0013,-0.0006,-1.8267
1657065615.328279,-0.0015,-0.0012,-1.8245
1657065615.428280,-0.0020,-0.0016,-1.8227
1657065615.528272,-0.0026,-0.0021,-1.8217
1657065615.628226,-0.0038,-0.0026,-1.8212
1657065615.728279,-0.0056,-0.0024,-1.8226
1657065615.828263,-0.0074,-0.0020,-1.8208
1657065615.928381,-0.0101,-0.0015,-1.8235
1657065616.028434,-0.0129,-0.0012,-1.8243
1657065616.128424,-0.0157,-0.0010,-1.8226
1657065616.228436,-0.0181,-0.0006,-1.8207
1657065616.328366,-0.0199,-0.0003,-1.8142
1657065616.428427,-0.0213,0.0001,-1.8113
1657065616.528365,-0.0224,0.0001,-1.8091
1657065616.587387,-0.0227,0.0001,-1.8038
1657065616.728426,-0.0235,0.0000,-1.8004
1657065616.828425,-0.0234,0.0000,-1.7952
1657065616.928426,-0.0235,-0.0001,-1.7926
1657065617.028424,-0.0235,-0.0008,-1.7898
1657065617.128424,-0.0235,-0.0014,-1.7890
1657065617.228423,-0.0231,-0.0012,-1.7844
1657065617.328433,-0.0232,-0.0006,-1.7802
1657065617.428384,-0.0232,-0.0008,-1.7771
1657065617.528424,-0.0229,-0.0008,-1.7747
1657065617.628396,-0.0229,-0.0005,-1.7733
1657065617.728396,-0.0232,-0.0004,-1.7726
1657065617.828531,-0.0230,-0.0005,-1.7709
1657065617.928436,-0.0232,-0.0006,-1.7697
1657065618.028424,-0.0233,-0.0008,-1.7682
1657065618.128387,-0.0234,-0.0010,-1.7683
1657065618.228377,-0.0235,-0.0013,-1.7679
1657065618.328434,-0.0237,-0.0011,-1.7694
1657065618.428367,-0.0241,-0.0011,-1.7702
1657065618.528369,-0.0241,-0.0009,-1.7695
1657065618.628561,-0.0241,-0.0009,-1.7693
1657065618.728436,-0.0240,-0.0016,-1.7690
1657065618.828447,-0.0234,-0.0016,-1.7693
1657065618.928439,-0.0230,-0.0021,-1.7713
1657065619.028427,-0.0230,-0.0019,-1.7730
1657065619.128380,-0.0232,-0.0018,-1.7770
1657065619.228462,-0.0232,-0.0013,-1.7788
1657065619.328437,-0.0231,-0.0012,-1.7801
1657065619.428449,-0.0225,-0.0017,-1.7795
1657065619.528377,-0.0221,-0.0018,-1.7819
1657065619.628372,-0.0220,-0.0017,-1.7834
1657065619.728440,-0.0222,-0.0021,-1.7860
1657065619.828437,-0.0226,-0.0018,-1.7887
1657065619.928449,-0.0227,-0.0016,-1.7886
1657065620.028435,-0.0229,-0.0018,-1.7907
1657065620.128444,-0.0229,-0.0011,-1.7896
1657065620.228385,-0.0229,-0.0008,-1.7897
1657065620.328437,-0.0233,-0.0006,-1.7902
1657065620.428389,-0.0234,-0.0005,-1.7899
1657065620.528422,-0.0236,-0.0006,-1.7927
1657065620.628459,-0.0235,-0.0011,-1.7913
1657065620.728368,-0.0234,-0.0014,-1.7913
1657065620.828450,-0.0233,-0.0019,-1.7890
1657065620.928434,-0.0235,-0.0023,-1.7885
1657065621.028423,-0.0228,-0.0023,-1.7873
1657065621.128586,-0.0228,-0.0021,-1.7860
1657065621.228445,-0.0228,-0.0020,-1.7867
1657065621.328375,-0.0227,-0.0016,-1.7860
1657065621.428455,-0.0227,-0.0014,-1.7844
1657065621.528430,-0.0228,-0.0014,-1.7832
1657065621.628405,-0.0227,-0.0013,-1.7819
1657065621.728380,-0.0225,-0.0005,-1.7804
1657065621.828424,-0.0223,-0.0015,-1.7794
1657065621.928374,-0.0221,-0.0019,-1.7780
1657065622.028425,-0.0221,-0.0020,-1.7790
1657065622.128428,-0.0226,-0.0020,-1.7823
1657065622.228369,-0.0227,-0.0021,-1.7815
1657065622.328449,-0.0226,-0.0023,-1.7803
1657065622.428438,-0.0231,-0.0026,-1.7804
1657065622.528429,-0.0231,-0.0024,-1.7810
1657065622.628515,-0.0233,-0.0022,-1.7801
1657065622.728375,-0.0233,-0.0024,-1.7812
1657065622.828428,-0.0231,-0.0028,-1.7811
1657065622.928429,-0.0228,-0.0026,-1.7811
1657065623.028427,-0.0223,-0.0019,-1.7815
1657065623.128451,-0.0225,-0.0014,-1.7801
1657065623.228401,-0.0226,-0.0010,-1.7804
1657065623.328463,-0.0228,-0.0007,-1.7823
1657065623.428466,-0.0224,-0.0008,-1.7819
1657065623.528431,-0.0225,-0.0012,-1.7834
1657065623.628573,-0.0224,-0.0010,-1.7822
1657065623.728426,-0.0223,-0.0008,-1.7794
1657065623.828425,-0.0224,-0.0006,-1.7810
1657065623.928427,-0.0225,-0.0002,-1.7803
1657065624.028440,-0.0226,-0.0004,-1.7808
1657065624.128393,-0.0226,-0.0009,-1.7810
1657065624.228373,-0.0227,-0.0010,-1.7819
1657065624.328378,-0.0226,-0.0011,-1.7825
1657065624.428430,-0.0228,-0.0012,-1.7834
1657065624.528423,-0.0226,-0.0012,-1.7834
1657065624.628374,-0.0229,-0.0006,-1.7841
1657065624.728382,-0.0224,-0.0010,-1.7839
1657065624.828437,-0.0223,-0.0014,-1.7850
1657065624.928444,-0.0227,-0.0011,-1.7855
1657065625.028377,-0.0226,-0.0013,-1.7845
1657065625.128440,-0.0227,-0.0014,-1.7842
1657065625.228380,-0.0228,-0.0017,-1.7839
1657065625.328434,-0.0225,-0.0021,-1.7820
1657065625.428423,-0.0223,-0.0025,-1.7805
1657065625.528421,-0.0219,-0.0026,-1.7801
1657065625.628442,-0.0219,-0.0029,-1.7815
1657065625.728440,-0.0223,-0.0026,-1.7804
1657065625.828458,-0.0224,-0.0027,-1.7801
1657065625.928423,-0.0229,-0.0022,-1.7804
1657065626.028369,-0.0227,-0.0018,-1.7757
1657065626.128468,-0.0228,-0.0015,-1.7751
1657065626.228378,-0.0233,-0.0015,-1.7746
1657065626.328375,-0.0237,-0.0013,-1.7753
1657065626.428386,-0.0237,-0.0017,-1.7764
1657065626.528367,-0.0237,-0.0016,-1.7762
1657065626.628452,-0.0235,-0.0019,-1.7771
1657065626.728377,-0.0236,-0.0019,-1.7791
1657065626.828422,-0.0234,-0.0024,-1.7793
1657065626.928431,-0.0230,-0.0024,-1.7806
1657065627.028445,-0.0229,-0.0018,-1.7843
1657065627.128383,-0.0229,-0.0014,-1.7855
1657065627.228445,-0.0231,-0.0017,-1.7857
1657065627.328503,-0.0232,-0.0017,-1.7863
1657065627.428434,-0.0231,-0.0014,-1.7880
1657065627.528530,-0.0231,-0.0008,-1.7863
1657065627.628406,-0.0227,-0.0009,-1.7855
1657065627.728375,-0.0223,-0.0009,-1.7840
1657065627.828398,-0.0224,-0.0005,-1.7849
1657065627.928425,-0.0225,-0.0003,-1.7856
1657065628.028422,-0.0226,-0.0009,-1.7874
1657065628.128438,-0.0226,-0.0008,-1.7870
1657065628.228426,-0.0226,-0.0012,-1.7872
1657065628.328401,-0.0227,-0.0013,-1.7853
1657065628.428430,-0.0227,-0.0010,-1.7846
1657065628.528435,-0.0226,-0.0013,-1.7863
1657065628.628595,-0.0226,-0.0014,-1.7849
1657065628.728382,-0.0221,-0.0014,-1.7839
1657065628.828597,-0.0221,-0.0012,-1.7826
1657065628.928422,-0.0222,-0.0014,-1.7841
1657065629.028375,-0.0224,-0.0017,-1.7831
1657065629.128442,-0.0222,-0.0022,-1.7836
1657065629.228429,-0.0226,-0.0015,-1.7860
1657065629.328374,-0.0228,-0.0012,-1.7864
1657065629.428428,-0.0229,-0.0012,-1.7852
1657065629.528420,-0.0229,-0.0007,-1.7833
1657065629.628454,-0.0232,-0.0005,-1.7829
1657065629.728386,-0.0227,-0.0005,-1.7837
1657065629.828453,-0.0225,-0.0006,-1.7836
1657065629.928380,-0.0224,-0.0003,-1.7836
1657065630.028434,-0.0226,-0.0003,-1.7847
1657065630.128423,-0.0220,-0.0004,-1.7844
1657065630.228389,-0.0222,-0.0008,-1.7841
1657065630.328434,-0.0225,-0.0007,-1.7830
1657065630.428431,-0.0227,-0.0002,-1.7850
1657065630.528426,-0.0230,-0.0010,-1.7869
1657065630.628373,-0.0231,-0.0015,-1.7871
1657065630.728393,-0.0229,-0.0020,-1.7899
1657065630.828431,-0.0226,-0.0025,-1.7895
1657065630.928439,-0.0222,-0.0029,-1.7899
1657065631.028370,-0.0220,-0.0034,-1.7894
1657065631.128449,-0.0224,-0.0032,-1.7893
1657065631.228367,-0.0228,-0.0034,-1.7919
1657065631.328459,-0.0227,-0.0031,-1.7903
1657065631.428382,-0.0226,-0.0029,-1.7881
1657065631.528422,-0.0228,-0.0030,-1.7882
1657065631.628448,-0.0228,-0.0027,-1.7875
1657065631.728382,-0.0229,-0.0025,-1.7852
1657065631.828446,-0.0229,-0.0023,-1.7856
1657065631.928449,-0.0229,-0.0015,-1.7829
