stamp,module,elapsed_ms
1657065600.628271,1.1_pointcloud_extract,0.016
1657065600.628271,1.1_cloud_preprocess,0.954
1657065600.628271,1.1_ros_callback_total,1.065
1657065600.628271,1.2_odom_insert_frame,0.534
1657065600.728294,1.1_pointcloud_extract,0.011
1657065600.728294,1.1_cloud_preprocess,0.312
1657065600.728294,1.1_ros_callback_total,0.408
1657065600.728294,1.2_odom_insert_frame,3.419
1657065600.828240,1.1_pointcloud_extract,0.024
1657065600.828240,1.1_cloud_preprocess,0.319
1657065600.828240,1.1_ros_callback_total,0.412
1657065600.828240,1.2_odom_insert_frame,1.883
1657065600.928278,1.1_pointcloud_extract,0.004
1657065600.928278,1.1_cloud_preprocess,0.205
1657065600.928278,1.1_ros_callback_total,0.284
1657065600.928278,1.2_odom_insert_frame,0.981
1657065601.028272,1.1_pointcloud_extract,0.004
1657065601.028272,1.1_cloud_preprocess,0.227
1657065601.028272,1.1_ros_callback_total,0.303
1657065601.028272,1.2_odom_insert_frame,1.017
1657065601.128305,1.1_pointcloud_extract,0.008
1657065601.128305,1.1_cloud_preprocess,0.318
1657065601.128305,1.1_ros_callback_total,0.404
1657065601.128305,1.2_odom_insert_frame,0.858
1657065601.228272,1.1_pointcloud_extract,0.005
1657065601.228272,1.1_cloud_preprocess,0.231
1657065601.228272,1.1_ros_callback_total,0.302
1657065601.228272,1.2_odom_insert_frame,0.812
1657065601.328312,1.1_pointcloud_extract,0.004
1657065601.328312,1.1_cloud_preprocess,0.229
1657065601.328312,1.1_ros_callback_total,0.307
1657065601.328312,1.2_odom_insert_frame,1.096
1657065601.428287,1.1_pointcloud_extract,0.004
1657065601.428287,1.1_cloud_preprocess,0.179
1657065601.428287,1.1_ros_callback_total,0.234
1657065601.428287,1.2_odom_insert_frame,0.929
1657065601.528257,1.1_pointcloud_extract,0.004
1657065601.528257,1.1_cloud_preprocess,0.205
1657065601.528257,1.1_ros_callback_total,0.276
1657065601.528257,1.2_odom_insert_frame,0.872
1657065601.628255,1.1_pointcloud_extract,0.021
1657065601.628255,1.1_cloud_preprocess,0.234
1657065601.628255,1.1_ros_callback_total,0.319
1657065601.628255,1.2_odom_insert_frame,1.069
1657065601.728288,1.1_pointcloud_extract,0.005
1657065601.728288,1.1_cloud_preprocess,0.211
1657065601.728288,1.1_ros_callback_total,0.281
